id,nombre,email,telefono,direccion,tarjeta_credito,salario,fecha_registro,pais,activo,edad,codigo_postal
1,Andrés Alonso Almaraz,juliamedrano@example.net,(266)108-1378,"Callejón Tlaxcala 114 420, Nueva Argelia, HGO 13049",213131951313192,28126.62,2021-08-11,Francia,True,28.0,15144
2,Germán Oswaldo Nieto,fmiramontes@example.net,1-126-150-1679x31406,"Calle Campeche 742 Edif. 270 , Depto. 727, San Camila los bajos, COAH 38883-0364",5142906926778800,22278.18,2024-05-08,Maldivas,True,999.0,47073
3,Helena Valdivia,oosorio@example.org,(133)676-3453,"Peatonal Sur Osorio 246 Edif. 934 , Depto. 137, Vieja Ghana, YUC 12216-0770",4467287005507452621,102147.33,2021-10-07,Angola,True,,15256
4,Rufino Zacarías Mireles Santana,micaela30@example.org,+48(9)9279725211,"Viaducto Norte Abrego 233 386, Vieja San Marino, MOR 38305",6011472209569594,37167.43,2022-08-03,Rwanda,True,-1.0,10961
5,Lic. Araceli Salinas,reynaldovalles@example.org,1-660-915-2010,"Callejón Bangladesh 645 Edif. 973 , Depto. 820, San Genaro los bajos, CHIH 94639-9529",4396130950063411,73896.25,2022-04-05,Brunei Darussalam,True,999.0,10249
6,Bianca Mariana Longoria Partida,wnaranjo@example.com,1-626-583-7685x189,"Callejón San Luis Potosí 032 077, San Andrea los bajos, GRO 95913-1418",4068884877342731,18305.41,2025-10-26,Swazilandia,True,19.0,14427-8593
7,Renato Cavazos,aalejandro@example.org,1-230-152-8995x637,"Diagonal Durango 928 Edif. 797 , Depto. 164, Nueva Angola, AGS 34627-7056",4392675605270,108146.3,2024-05-01,Panamá,True,999.0,36776-2628
8,Sr. Santiago Ponce,posadamarisol@example.net,(634)655-1255x155,"Corredor Filipinas 207 Edif. 539 , Depto. 651, San Gustavo los altos, CAMP 79050",6507602974776443,61208.3,2021-10-26,Pakistán,True,999.0,04938
9,Raúl Bruno Holguín Guerrero,velasquezcitlali@example.org,(298)618-2862,"Prolongación Mali 691 Interior 107, Nueva Eritrea, YUC 04013-6527",38792521481208,16575.84,2022-01-01,Finlandia,True,53.0,16002-1802
10,Sergio Arellano,cristobalozuna@example.com,+10(0)4034950140,"Pasaje Vanuatu 318 Edif. 476 , Depto. 459, San Enrique de la Montaña, CHIS 98503-2531",4103233675825686,55503.38,2025-06-05,Guinea Bissau,False,999.0,19673
